,ROI,p,p_FDR,stat
33,rh_bankssts,0.6083391660833917,0.9420828408962383,-0.018437603780641743
34,rh_caudalanteriorcingulate,0.6045395460453955,0.9420828408962383,-0.016044964929724514
35,rh_cuneus,0.8273172682731726,0.9917008299170083,-0.008588405408800792
36,rh_entorhinal,0.5357464253574643,0.9420828408962383,0.03894041609472576
37,rh_fusiform,0.41915808419158085,0.9204617999738487,0.025860850946091363
38,rh_inferiorparietal,0.23017698230176983,0.7488174259497127,0.03930040728641426
39,rh_inferiortemporal,0.5981401859814018,0.9420828408962383,0.017967018033210325
40,rh_isthmuscingulate,0.8351164883511649,0.9917008299170083,-0.007570686883038746
41,rh_lateraloccipital,0.7135286471352865,0.9667162316026462,-0.010748648141679418
42,rh_lateralorbitofrontal,0.8127187281271873,0.9917008299170083,-0.01085067347891866
43,rh_lingual,0.6639336066393361,0.9420828408962383,-0.0158399894467669
44,rh_medialorbitofrontal,0.6841315868413159,0.9420828408962383,-0.0160022096426522
45,rh_middletemporal,0.9533046695330467,0.9917008299170083,-0.0017193840618054956
46,rh_parahippocampal,0.7915208479152085,0.9917008299170083,0.013149872893291059
47,rh_paracentral,0.055194480551944806,0.42975702429757023,0.07230293026403767
48,rh_parsopercularis,0.5297470252974702,0.9420828408962383,-0.018807872650216773
49,rh_parsorbitalis,0.5649435056494351,0.9420828408962383,-0.01955887899969011
50,rh_parstriangularis,0.8049195080491951,0.9917008299170083,0.007788763191587611
51,rh_pericalcarine,0.1797820217978202,0.6292370762923707,-0.061350676273958626
52,rh_postcentral,0.28417158284171584,0.7956804319568043,0.034916539850981865
53,rh_posteriorcingulate,0.8887111288871112,0.9917008299170083,-0.005082170295155786
54,rh_precentral,0.624937506249375,0.9420828408962383,-0.013881413178699065
55,rh_precuneus,0.0413958604139586,0.42975702429757023,0.06541202977415783
56,rh_rostralanteriorcingulate,0.5875412458754125,0.9420828408962383,-0.0244655142717487
57,rh_rostralmiddlefrontal,0.8715128487151285,0.9917008299170083,0.0045286774804991214
58,rh_superiorfrontal,0.4273572642735726,0.9204617999738487,0.026195922400682692
59,rh_superiorparietal,0.40435956404359563,0.9204617999738487,-0.02713064746365812
60,rh_superiortemporal,0.8849115088491151,0.9917008299170083,0.0045356701360237395
61,rh_supramarginal,0.0245975402459754,0.41323867613238674,-0.05830717463336321
62,rh_frontalpole,0.0903909609039096,0.4693648282230601,-0.07231964668926216
63,rh_temporalpole,0.7473252674732527,0.9917008299170083,0.01846602125896757
64,rh_transversetemporal,0.0837916208379162,0.4693648282230601,-0.07932352776264628
65,rh_insula,0.2465753424657534,0.7671232876712328,-0.033144925624246424
66,LEFT-CEREBELLUM-CORTEX,0.9341065893410659,0.9917008299170083,0.003869306308688314
67,LEFT-THALAMUS-PROPER,0.018598140185981403,0.39056094390560947,-0.11623785481279181
68,LEFT-CAUDATE,0.37336266373362664,0.9204617999738487,-0.04594721258009837
69,LEFT-PUTAMEN,0.13938606139386062,0.5090621372645344,-0.07954283580954735
70,LEFT-PALLIDUM,0.12118788121187882,0.4726436447264365,-0.14129558169155465
71,LEFT-HIPPOCAMPUS,0.6811318868113189,0.9420828408962383,0.017651088307304663
72,LEFT-AMYGDALA,0.6311368863113689,0.9420828408962383,0.02664352707478579
73,LEFT-ACCUMBENS-AREA,0.9105089491050895,0.9917008299170083,0.006433289478403603
74,LEFT-VENTRALDC,0.660933906609339,0.9420828408962383,-0.01947849655907352
75,RIGHT-CEREBELLUM-CORTEX,0.9155084491550844,0.9917008299170083,0.009828556472970318
76,RIGHT-THALAMUS-PROPER,0.652934706529347,0.9420828408962383,-0.021461913073580252
77,RIGHT-CAUDATE,0.9917008299170083,0.9917008299170083,-0.0009699941682048685
78,RIGHT-PUTAMEN,0.6427357264273572,0.9420828408962383,-0.026719986183733058
79,RIGHT-PALLIDUM,0.420957904209579,0.9204617999738487,-0.047625409827391385
80,RIGHT-HIPPOCAMPUS,0.11638836116388361,0.4726436447264365,-0.11603886133459262
81,RIGHT-AMYGDALA,0.09119088091190881,0.4693648282230601,-0.072200166783704
82,RIGHT-ACCUMBENS-AREA,0.05319468053194681,0.42975702429757023,0.08239228406674992
83,RIGHT-VENTRALDC,0.014998500149985002,0.39056094390560947,-0.1364467115246879
